CALC_TOTAL_SCORE,Race/Ethnicity,pct
0,Black,
0,Latino,
0,White,
1,Black,1.8181818181818181
1,Latino,1.694915254237288
1,White,1.0471204188481675
2,Black,2.197802197802198
2,Latino,1.5847860538827259
2,White,1.7948717948717947
3,Black,2.9717682020802374
3,Latino,1.6227180527383367
3,White,2.488335925349922
4,Black,2.564102564102564
4,Latino,3.349282296650718
4,White,1.814300960512273
5,Black,3.561853695901953
5,Latino,3.0939871570344426
5,White,3.485254691689008
6,Black,4.263093788063337
6,Latino,3.9448966812773953
6,White,3.750997605746209
7,Black,5.449591280653951
7,Latino,4.232804232804233
7,White,4.482225656877898
8,Black,5.6152512998266895
8,Latino,6.5356004250797035
8,White,6.186186186186187
9,Black,6.416510318949344
9,Latino,6.926629040533607
9,White,6.69481302774427
10,Black,7.15171558495246
10,Latino,7.367280606717226
10,White,7.56469807564698
11,Black,8.476881233000906
11,Latino,8.449074074074074
11,White,8.60215053763441
12,Black,12.125748502994012
12,Latino,10.92436974789916
12,White,10.396039603960396
13,Black,15.19756838905775
13,Latino,11.856823266219239
13,White,12.430278884462151
14,Black,17.854283426741393
14,Latino,14.914645103324348
14,White,16.2593984962406
15,Black,20.471698113207548
15,Latino,22.790202342917997
15,White,19.81020166073547
16,Black,25.225225225225223
16,Latino,22.53968253968254
16,White,27.64227642276423
17,Black,34.44444444444444
17,Latino,30.434782608695656
17,White,32.608695652173914
