CALC_TOTAL_SCORE,Race/Ethnicity,pct
0,Black,16.666666666666664
0,Latino,
0,White,
1,Black,3.389830508474576
1,Latino,6.896551724137931
1,White,
2,Black,4.320987654320987
2,Latino,3.0927835051546393
2,White,3.571428571428571
3,Black,4.5602605863192185
3,Latino,3.888888888888889
3,White,4.0
4,Black,2.93398533007335
4,Latino,6.691449814126393
4,White,8.21917808219178
5,Black,5.555555555555555
5,Latino,6.68693009118541
5,White,5.555555555555555
6,Black,5.727923627684964
6,Latino,4.2622950819672125
6,White,5.208333333333334
7,Black,9.169054441260744
7,Latino,8.75912408759124
7,White,6.666666666666667
8,Black,9.61038961038961
8,Latino,11.178247734138973
8,White,8.035714285714286
9,Black,11.650485436893204
9,Latino,13.709677419354838
9,White,4.123711340206185
10,Black,13.20754716981132
10,Latino,18.2648401826484
10,White,11.578947368421053
11,Black,13.114754098360656
11,Latino,20.30075187969925
11,White,19.35483870967742
12,Black,19.047619047619047
12,Latino,23.52941176470588
12,White,15.254237288135593
13,Black,17.333333333333336
13,Latino,18.571428571428573
13,White,8.333333333333332
14,Black,22.727272727272727
14,Latino,25.0
14,White,23.52941176470588
15,Black,25.0
15,Latino,10.344827586206897
15,White,14.285714285714285
16,Black,7.142857142857142
16,Latino,44.44444444444444
16,White,22.22222222222222
