year,assessment,group,pearson chi-square,p-value,cramers phi,sig
2016,CES for Individuals - CES Survey Part 1,Black,47.5027,0.0,0.0768,True
2017,CES for Individuals - CES Survey Part 1,Black,56.0208,0.0,0.068,True
2018,CES for Individuals - CES Survey Part 1,Black,145.1486,0.0,0.0969,True
2019,CES for Individuals - CES Survey Part 1,Black,55.6901,0.0,0.0645,True
2020,CES for Individuals - CES Survey Part 1,Black,16.0113,0.0001,0.0381,True
2021,CES for Individuals - CES Survey Part 1,Black,45.2605,0.0,0.0622,True
2022,CES for Individuals - CES Survey Part 1,Black,6.5137,0.0107,0.0272,True
Overall,CES for Individuals - CES Survey Part 1,Black,376.9853,0.0,0.0684,True
2016,CES for Individuals - CES Survey Part 1,Latino,17.8769,0.0,0.0581,True
2017,CES for Individuals - CES Survey Part 1,Latino,24.6483,0.0,0.0521,True
2018,CES for Individuals - CES Survey Part 1,Latino,117.1682,0.0,0.0982,True
2019,CES for Individuals - CES Survey Part 1,Latino,31.0615,0.0,0.053,True
2020,CES for Individuals - CES Survey Part 1,Latino,18.1626,0.0,0.0431,True
2021,CES for Individuals - CES Survey Part 1,Latino,19.2887,0.0,0.0411,True
2022,CES for Individuals - CES Survey Part 1,Latino,3.6135,0.0573,0.0206,False
Overall,CES for Individuals - CES Survey Part 1,Latino,125.4553,0.0,0.0432,True
2016,CES for Youth - Next Step Tool,Black,5.085,0.0241,0.1308,True
2017,CES for Youth - Next Step Tool,Black,30.2113,0.0,0.1781,True
2018,CES for Youth - Next Step Tool,Black,8.6309,0.0033,0.0689,True
2019,CES for Youth - Next Step Tool,Black,21.2462,0.0,0.1273,True
2020,CES for Youth - Next Step Tool,Black,4.5966,0.032,0.0727,True
2021,CES for Youth - Next Step Tool,Black,25.3899,0.0,0.1724,True
2022,CES for Youth - Next Step Tool,Black,21.3817,0.0,0.1552,True
Overall,CES for Youth - Next Step Tool,Black,86.0766,0.0,0.111,True
2016,CES for Youth - Next Step Tool,Latino,0.3845,0.5352,0.0379,False
2017,CES for Youth - Next Step Tool,Latino,11.5437,0.0007,0.1141,True
2018,CES for Youth - Next Step Tool,Latino,5.7699,0.0163,0.0649,True
2019,CES for Youth - Next Step Tool,Latino,11.8084,0.0006,0.101,True
2020,CES for Youth - Next Step Tool,Latino,1.5182,0.2179,0.0456,False
2021,CES for Youth - Next Step Tool,Latino,6.3314,0.0119,0.0947,True
2022,CES for Youth - Next Step Tool,Latino,8.6024,0.0034,0.1133,True
Overall,CES for Youth - Next Step Tool,Latino,34.3049,0.0,0.077,True
