TOTAL_SCORE,Black,Latino,White
0,0.3948667324777887,0.27237769707327497,0.4250761455300064
1,1.2161895360315893,0.7450331125827815,0.5321819459785119
2,3.348469891411648,2.478102969450972,1.7873280449844362
3,5.615004935834156,4.01356547746208,3.126150550590755
4,7.2418558736426455,6.067079683828243,4.792984570070622
5,7.656465942744324,7.5277718436231575,6.198748200957258
6,7.4827245804540965,7.5117496261482595,6.901630016400576
7,6.95360315893386,7.917645802179021,7.467282525019246
8,9.330700888450147,9.156697286904508,9.519028014860929
9,8.870681145113524,9.071245460371715,9.498945677276835
10,8.424481737413624,8.817560350352489,9.19101650098738
11,7.8045409674234945,8.37427900021363,8.538340529504302
12,7.095755182625864,7.4797051911984616,8.344211266191385
13,6.035538005923001,6.579790643024995,7.59112360678783
14,4.886475814412636,5.570390942106387,6.463165645814506
15,4.418558736426456,4.857402264473403,5.208019546808582
16,2.845014807502468,3.2444990386669517,3.8658499849382464
17,0.3790720631786772,0.31510361033967105,0.5489172272985908
